method_id,coherence
1,NOT_COHERENT
2,NOT_COHERENT
3,COHERENT
4,NOT_COHERENT
5,NOT_COHERENT
6,NOT_COHERENT
7,NOT_COHERENT
8,NOT_COHERENT
9,NOT_COHERENT
10,COHERENT
11,COHERENT
12,COHERENT
13,COHERENT
14,NOT_COHERENT
15,COHERENT
16,COHERENT
17,COHERENT
18,COHERENT
19,COHERENT
20,NOT_COHERENT
21,COHERENT
22,NOT_COHERENT
23,COHERENT
24,NOT_COHERENT
25,COHERENT
26,NOT_COHERENT
27,COHERENT
28,COHERENT
29,COHERENT
30,NOT_COHERENT
31,COHERENT
32,NOT_COHERENT
33,COHERENT
34,COHERENT
35,NOT_COHERENT
36,NOT_COHERENT
37,COHERENT
38,COHERENT
39,COHERENT
40,NOT_COHERENT
41,COHERENT
42,COHERENT
43,COHERENT
44,COHERENT
45,NOT_COHERENT
46,COHERENT
47,NOT_COHERENT
