method_id,method_name,class_name,software_system,filepath,start_line,end_line,Length_of_Head_Comment,Head_Comment,Length_of_the_Implementation,Method_Implementation
1,makeCoffee,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,217,244,3,/**\n   * Make coffee user interface the processes input.\n   */,28,"  public static void makeCoffee() {\n    Recipe [] recipes = coffeeMaker.getRecipes();\n    for(int i = 0; i < recipes.length; i++) {\n      if (recipes[i] != null) {\n        System.out.println((i+1) + "". "" + recipes[i].getName());\n      }\n    }\n    \n    int recipeToPurchase = recipeListSelection(""Please select the number of the recipe to purchase."");\n    \n    String amountPaid = inputOutput(""Please enter the amount you wish to pay"");\n    int amtPaid = 0;\n    try {\n      amtPaid = Integer.parseInt(amountPaid);\n    } catch (NumberFormatException e) {\n      System.out.println(""Please enter a positive integer"");\n      mainMenu();\n    }\n    \n    int change = coffeeMaker.makeCoffee(recipeToPurchase, amtPaid);\n    \n    if (change == amtPaid) {\n      System.out.println(""Insufficient funds to purchase."");\n    } else {\n      System.out.println(""Thank you for purchasing "" + coffeeMaker.getRecipes()[recipeToPurchase].getName());\n    }\n    System.out.println(""Your change is: "" + change + ""\\n"");\n    mainMenu();\n"
2,deleteRecipe,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,103,123,3,/**\n   * Delete recipe user interface that processes input.\n   */,21,"  public static void deleteRecipe() {\n    Recipe [] recipes = coffeeMaker.getRecipes();\n    for(int i = 0; i < recipes.length; i++) {\n      if (recipes[i] != null) {\n        System.out.println((i+1) + "". "" + recipes[i].getName());\n      }\n    }\n    int recipeToDelete = recipeListSelection(""Please select the number of the recipe to delete."");\n    \n    if(recipeToDelete < 0) {\n      mainMenu();\n    }\n    \n    String recipeDeleted = coffeeMaker.deleteRecipe(recipeToDelete);\n    \n    if (recipeDeleted != null) {\n      System.out.println(recipeDeleted + "" successfully deleted.\\n"");\n    } else {\n      System.out.println(""Selected recipe doesn\'t exist and could not be deleted.\\n"");\n    }\n    mainMenu();\n"
3,mainMenu,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,23,50,4,/**\n   * Prints the main menu and handles user input for \n   * main menu commands.\n   */,28,"  public static void mainMenu() {\n    System.out.println(""1. Add a recipe"");\n    System.out.println(""2. Delete a recipe"");\n    System.out.println(""3. Edit a recipe"");\n    System.out.println(""4. Add inventory"");\n    System.out.println(""5. Check inventory"");\n    System.out.println(""6. Make coffee"");\n    System.out.println(""0. Exit\\n"");\n    \n    //Get user input\n    try {\n      int userInput = Integer.parseInt(inputOutput(""Please press the number that corresponds to what you would like the coffee maker to do.""));\n      \n      if (userInput >= 0 && userInput <=6) {\n        if (userInput == 1) addRecipe();\n        if (userInput == 2) deleteRecipe();\n        if (userInput == 3) editRecipe();\n        if (userInput == 4) addInventory();\n        if (userInput == 5) checkInventory();\n        if (userInput == 6) makeCoffee();\n        if (userInput == 0) System.exit(0);\n      } else {\n        System.out.println(""Please enter a number from 0 - 6"");\n        mainMenu();\n      }\n    } catch (NumberFormatException e) {\n      System.out.println(""Please enter a number from 0 - 6"");\n      mainMenu();\n"
4,inputOutput,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,253,264,6,/**\n   * Passes a prompt to the user and returns the user specified \n   * string.\n   * @param message\n   * @return String\n   */,12,"  private static String inputOutput(String message) {\n    System.out.println(message);\n    BufferedReader br = new BufferedReader(new InputStreamReader(System.in));\n    String returnString = """";\n    try {\n      returnString = br.readLine();\n    }\n    catch (IOException e){\n      System.out.println(""Error reading in value"");\n      mainMenu();\n    }\n    return returnString;\n"
5,addInventory,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,183,202,3,/**\n   * Add inventory user interface that processes input.\n   */,20,"  public static void addInventory() {\n    //Read in amt coffee\n    String coffeeString = inputOutput(""\\nPlease enter the units of coffee to add: "");\n        \n    //Read in amt milk\n    String milkString = inputOutput(""\\nPlease enter the units of milk to add: "");\n        \n    //Read in amt sugar\n    String sugarString = inputOutput(""\\nPlease enter the units of sugar to add: "");\n        \n    //Read in amt chocolate\n    String chocolateString = inputOutput(""\\nPlease enter the units of chocolate to add: "");\n        \n    try {\n      coffeeMaker.addInventory(coffeeString, milkString, sugarString, chocolateString);\n      System.out.println(""Inventory successfully added"");\n    } catch (InventoryException e) {\n      System.out.println(""Inventory was not added"");\n    } finally {\n      mainMenu();\n"
6,editRecipe,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,129,176,3,/**\n   * Edit recipe user interface the processes user input.\n   */,48,"  public static void editRecipe() {\n    Recipe [] recipes = coffeeMaker.getRecipes();\n    for(int i = 0; i < recipes.length; i++) {\n      if (recipes[i] != null) {\n        System.out.println((i+1) + "". "" + recipes[i].getName());\n      }\n    }\n    int recipeToEdit = recipeListSelection(""Please select the number of the recipe to edit."");\n    \n    if(recipeToEdit < 0) {\n      mainMenu();\n    }\n    \n    //Read in recipe price\n    String priceString = inputOutput(""\\nPlease enter the recipe price: $"");\n    \n    //Read in amt coffee\n    String coffeeString = inputOutput(""\\nPlease enter the units of coffee in the recipe: "");\n    \n    //Read in amt milk\n    String milkString = inputOutput(""\\nPlease enter the units of milk in the recipe: "");\n    \n    //Read in amt sugar\n    String sugarString = inputOutput(""\\nPlease enter the units of sugar in the recipe: "");\n    \n    //Read in amt chocolate\n    String chocolateString = inputOutput(""\\nPlease enter the units of chocolate in the recipe: "");\n    \n    Recipe newRecipe = new Recipe();\n    try {\n      newRecipe.setPrice(priceString);\n      newRecipe.setAmtCoffee(coffeeString);\n      newRecipe.setAmtMilk(milkString);\n      newRecipe.setAmtSugar(sugarString);\n      newRecipe.setAmtChocolate(chocolateString);\n      \n      String recipeEdited = coffeeMaker.editRecipe(recipeToEdit, newRecipe);\n      \n      if (recipeEdited != null) {\n        System.out.println(recipeEdited + "" successfully edited.\\n"");\n      }\n      else {\n        System.out.println(recipeEdited + ""could not be edited.\\n"");\n      }\n    } catch (RecipeException e) {\n      System.out.println(e.getMessage());\n    } finally {\n      mainMenu();\n"
7,recipeListSelection,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,273,287,6,/**\n   * Passes a prompt to the user that deals with the recipe list\n   * and returns the user selected number.\n   * @param message\n   * @return int\n   */,15,"  private static int recipeListSelection(String message) {\n    String userSelection = inputOutput(message);\n    int recipe = 0;\n    try {\n      recipe = Integer.parseInt(userSelection) - 1;\n      if (recipe >= 0 && recipe <=2) {\n        //do nothing here.\n      } else {\n        recipe = -1;\n      }\n    } catch (NumberFormatException e) {\n      System.out.println(""Please select a number from 1-3."");\n      recipe = -1;\n    }\n    return recipe;\n"
8,addRecipe,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,57,96,3,/**\n   * The add recipe user interface that process user input.\n   */,40,"  public static void addRecipe() {\n    \n    //Read in recipe name\n    String name = inputOutput(""\\nPlease enter the recipe name: "");\n    \n    //Read in recipe price\n    String priceString = inputOutput(""\\nPlease enter the recipe price: $"");\n        \n    //Read in amt coffee\n    String coffeeString = inputOutput(""\\nPlease enter the units of coffee in the recipe: "");\n        \n    //Read in amt milk\n    String milkString = inputOutput(""\\nPlease enter the units of milk in the recipe: "");\n        \n    //Read in amt sugar\n    String sugarString = inputOutput(""\\nPlease enter the units of sugar in the recipe: "");\n        \n    //Read in amt chocolate\n    String chocolateString = inputOutput(""\\nPlease enter the units of chocolate in the recipe: "");\n        \n    Recipe r = new Recipe();\n    try {\n      r.setName(name);\n      r.setPrice(priceString);\n      r.setAmtCoffee(coffeeString);\n      r.setAmtMilk(milkString);\n      r.setAmtSugar(sugarString);\n      r.setAmtChocolate(chocolateString);\n      \n      boolean recipeAdded = coffeeMaker.addRecipe(r);\n      \n      if(recipeAdded) {\n        System.out.println(name + "" successfully added.\\n"");\n      } else {\n        System.out.println(name + "" could not be added.\\n"");\n      }\n    } catch (RecipeException e) {\n      System.out.println(e.getMessage());\n    } finally {\n      mainMenu();\n"
9,checkInventory,Main,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/Main.java,209,211,3,/**\n   * Check inventory user interface that processes input.\n   */,3,  public static void checkInventory() {\n    System.out.println(coffeeMaker.checkInventory());\n    mainMenu();\n
10,getRecipes,RecipeBook,CoffeeMaker10,CoffeeMaker_Web/src/edu/ncsu/csc326/coffeemaker/RecipeBook.java,22,23,5,/**\n   * Returns the recipe array.\n   * @param r\n   * @return Recipe[]\n   */,2,  public synchronized Recipe[] getRecipes() {\n    return recipeArray;\n
