method_id,method_name,class_name,software_system,filepath,start_line,end_line,Length_of_Head_Comment,Head_Comment,Length_of_the_Implementation,Method_Implementation
2741,DateTitle,DateTitle,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/DateTitle.java,98,99,7,"/**\n   * Default constructor - builds a new DateTitle that displays the current date in the default\n   * (LONG) format for the locale, positioned to the bottom right of the chart.\n   * <P>\n   * The color will be black in 12 point, plain Helvetica font (maps to Arial on Win32 systems\n   * without Helvetica).\n   */",2,  public DateTitle() {\n    this(DateFormat.LONG);\n
2742,DateTitle,DateTitle,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/DateTitle.java,82,84,10,"/**\n   * Standard constructor - builds a new DateTitle object with the specified attributes and the\n   * following defaults:  location = BOTTOM, alignment = RIGHT, insets = new Insets(2, 2, 2, 2).\n   * @param dateStyle the Date style to use (SHORT, MEDIUM, LONG, or FULL constants from\n   *          java.util.DateFormat);\n   * @param locale the locale to use to format this date (if you are unsure what to use here, use\n   *         Locale.getDefault() for your default locale);\n   * @param font the font used to display the date;\n   * @param paint the paint used to display the date;\n   */",3,"  public DateTitle(int dateStyle, Locale locale, Font font, Paint paint) {\n    this(dateStyle, locale, font, paint, AbstractTitle.BOTTOM, AbstractTitle.RIGHT,\n       AbstractTitle.MIDDLE, new Insets(2, 2, 2, 2));\n"
2743,DateTitle,DateTitle,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/DateTitle.java,65,69,12,"/**\n   * Full constructor - builds a new DateTitle with the specified attributes.\n   * @param location the relative location of this title (use constants in AbstractTitle);\n   * @param alignment the text alignment of this title (use constants in AbstractTitle);\n   * @param dateStyle the Date style to use (SHORT, MEDIUM, LONG, or FULL constants from\n   *          java.text.DateFormat);\n   * @param locale the locale to use to format this date (if you are unsure what to use here, use\n   *         Locale.getDefault() for your default locale);\n   * @param font the font used to display the date;\n   * @param paint the paint used to display the date;\n   * @param insets the blank space around the outside of the title;\n   */",5,"  public DateTitle(int dateStyle, Locale locale, Font font, Paint paint, int position,\n           int horizontalAlignment, int verticalAlignment, Insets insets) {\n\n    super(DateFormat.getDateInstance(dateStyle, locale).format(new Date()),\n        font, paint, position, horizontalAlignment, verticalAlignment, insets);\n"
2744,createXYChart,ChartFactory,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/ChartFactory.java,339,361,8,/**\n   * Creates an XY (line) plot with default settings.\n   * @param title The chart title.\n   * @param xAxisLabel A label for the X-axis.\n   * @param yAxisLabel A label for the Y-axis.\n   * @param data The dataset for the chart.\n   * @param legend A flag specifying whether or not a legend is required.\n   */,23,"  public static JFreeChart createXYChart(String title, String xAxisLabel, String yAxisLabel,\n                         XYDataset data, boolean legend) {\n\n    JFreeChart chart = null;\n\n  try {\n      NumberAxis xAxis = new HorizontalNumberAxis(xAxisLabel);\n      xAxis.setAutoRangeIncludesZero(false);\n    Axis yAxis = new VerticalNumberAxis(yAxisLabel);\n      XYPlot plot = new XYPlot(xAxis, yAxis);\n      plot.setXYItemRenderer(new StandardXYItemRenderer(StandardXYItemRenderer.LINES));\n    chart = new JFreeChart(data, plot, title, JFreeChart.DEFAULT_TITLE_FONT, legend);\n  }\n  catch (AxisNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createXYChart(...) : axis not compatible."");\n  }\n  catch (PlotNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createXYChart(...) : plot not compatible."");\n  }\n\n    return chart;\n"
2745,createLineChart,ChartFactory,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/ChartFactory.java,279,300,8,/**\n   * Creates a line chart with default settings.\n   * @param title The chart title.\n   * @param categoryAxisLabel The label for the category axis.\n   * @param valueAxisLabel The label for the value axis.\n   * @param data The dataset for the chart.\n   * @param legend A flag specifying whether or not a legend is required.\n   */,22,"  public static JFreeChart createLineChart(String title, String categoryAxisLabel,\n                         String valueAxisLabel, CategoryDataset data,\n                         boolean legend) {\n\n    JFreeChart chart = null;\n\n  try {\n      Axis categoryAxis = new HorizontalCategoryAxis(categoryAxisLabel);\n    Axis valueAxis = new VerticalNumberAxis(valueAxisLabel);\n    Plot plot = new LinePlot(categoryAxis, valueAxis);\n    chart = new JFreeChart(data, plot, title, JFreeChart.DEFAULT_TITLE_FONT, legend);\n  }\n  catch (AxisNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createLineChart(...) : axis not compatible."");\n  }\n  catch (PlotNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createLineChart(...) : plot not compatible."");\n  }\n\n    return chart;\n"
2746,createHighLowChart,ChartFactory,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/ChartFactory.java,483,504,11,/**\n   * Creates and returns a default instance of a high-low-open-close chart based on the specified\n   * dataset.\n   * <P>\n   * Added by Andrzej Porebski.  Amended by David Gilbert.\n   * @param title The chart title.\n   * @param timeAxisLabel A label for the time axis.\n   * @param valueAxisLabel A label for the value axis.\n   * @param data The dataset for the chart.\n   * @param legend A flag specifying whether or not a legend is required.\n   */,22,"  public static JFreeChart createHighLowChart(String title, String timeAxisLabel,\n                        String valueAxisLabel, HighLowDataset data,\n                        boolean legend) {\n\n    JFreeChart chart = null;\n\n  try {\n    Axis timeAxis = new HorizontalDateAxis(timeAxisLabel);\n    NumberAxis valueAxis = new VerticalNumberAxis(valueAxisLabel);\n    HighLowPlot plot = new HighLowPlot(timeAxis, valueAxis);\n    chart = new JFreeChart(data, plot, title, JFreeChart.DEFAULT_TITLE_FONT, legend);\n  }\n  catch (AxisNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createHighLowChart(...) : axis not compatible."");\n  }\n  catch (PlotNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createHighLowChart(...) : plot not compatible."");\n  }\n\n    return chart;\n"
2747,createVerticalBarChart,ChartFactory,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/ChartFactory.java,58,79,8,/**\n   * Creates a vertical bar chart with default settings.\n   * @param title The chart title.\n   * @param categoryAxisLabel The label for the category axis.\n   * @param valueAxisLabel The label for the value axis.\n   * @param data The dataset for the chart.\n   * @param legend A flag specifying whether or not a legend is required.\n   */,22,"  public static JFreeChart createVerticalBarChart(String title, String categoryAxisLabel,\n                          String valueAxisLabel, CategoryDataset data,\n                          boolean legend) {\n\n    JFreeChart chart = null;\n\n    try {\n      Axis categoryAxis = new HorizontalCategoryAxis(categoryAxisLabel);\n      Axis valueAxis = new VerticalNumberAxis(valueAxisLabel);\n      Plot plot = new VerticalBarPlot(categoryAxis, valueAxis);\n      chart = new JFreeChart(data, plot, title, JFreeChart.DEFAULT_TITLE_FONT, legend);\n    }\n  catch (AxisNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createVerticalBarChart(...) : axis not compatible."");\n    }\n  catch (PlotNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createVerticalBarChart(...) : plot not compatible."");\n    }\n\n    return chart;\n"
2748,createStackedHorizontalBarChart,ChartFactory,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/ChartFactory.java,243,267,9,/**\n   * Creates a stacked horizontal bar chart with default settings.  This is still experimental at\n   * this point!\n   * @param title The chart title.\n   * @param categoryAxisLabel The label for the category axis.\n   * @param valueAxisLabel The label for the value axis.\n   * @param data The dataset for the chart.\n   * @param legend A flag specifying whether or not a legend is required.\n   */,25,"  public static JFreeChart createStackedHorizontalBarChart(String title, String categoryAxisLabel,\n                            String valueAxisLabel, CategoryDataset data,\n                            boolean legend) {\n\n    JFreeChart chart = null;\n\n    try {\n      Axis categoryAxis = new VerticalCategoryAxis(categoryAxisLabel);\n      Axis valueAxis = new HorizontalNumberAxis(valueAxisLabel);\n      HorizontalBarPlot plot = new HorizontalBarPlot(valueAxis, categoryAxis);\n      plot.setRenderer(new StackedHorizontalBarRenderer());\n      chart = new JFreeChart(data, plot, title, JFreeChart.DEFAULT_TITLE_FONT, legend);\n    }\n  catch (AxisNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(\n        ""ChartFactory.createStackedHorizontalBarChart(...) : axis not compatible."");\n    }\n  catch (PlotNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(\n        ""ChartFactory.createStackedHorizontalBarChart(...) : plot not compatible."");\n    }\n\n    return chart;\n"
2749,createVerticalXYBarChart,ChartFactory,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/ChartFactory.java,446,468,9,/**\n   * Creates and returns a default instance of a VerticalXYBarChart based on the specified\n   * dataset.\n   * @param title The chart title.\n   * @param xAxisLabel A label for the X-axis.\n   * @param yAxisLabel A label for the Y-axis.\n   * @param data The dataset for the chart.\n   * @param legend A flag specifying whether or not a legend is required.\n   */,23,"  public static JFreeChart createVerticalXYBarChart(String title, String xAxisLabel,\n                            String yAxisLabel, IntervalXYDataset data,\n                            boolean legend) {\n\n    JFreeChart chart = null;\n\n  try {\n    HorizontalDateAxis timeAxis = new HorizontalDateAxis(xAxisLabel);\n    Axis valueAxis = new VerticalNumberAxis(yAxisLabel);\n    Plot plot = new VerticalXYBarPlot(timeAxis, valueAxis, new Insets(0,0,0,0), Color.white,\n      new BasicStroke(), Color.gray);\n    chart = new JFreeChart(data, plot, title, JFreeChart.DEFAULT_TITLE_FONT, legend);\n  }\n  catch (AxisNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createVerticalXYBarChart(...) : axis not compatible."");\n  }\n  catch (PlotNotCompatibleException e) {\n      // this won\'t happen unless you mess with the axis constructors above\n    System.err.println(""ChartFactory.createVerticalXYBarChart(...) : plot not compatible."");\n  }\n\n    return chart;\n"
2750,createPieChart,ChartFactory,JFreeChart060,jfreechart-0.6.0/source/com/jrefinery/chart/ChartFactory.java,310,327,6,/**\n   * Creates a pie chart with default settings.\n   * @param title The chart title.\n   * @param data The dataset for the chart.\n   * @param legend A flag specifying whether or not a legend is required.\n   */,18,"  public static JFreeChart createPieChart(String title, PieDataset data, boolean legend) {\n\n    JFreeChart chart = null;\n\n    try {\n    Plot plot = new PiePlot();\n    chart = new JFreeChart(data, plot, title, JFreeChart.DEFAULT_TITLE_FONT, legend);\n  }\n  catch (AxisNotCompatibleException e) {\n      // can\'t see how this could happen for a pie chart\n    System.err.println(""ChartFactory.createPieChart(...) : axis not compatible."");\n  }\n    catch (PlotNotCompatibleException e) {\n      // can\'t see how this could happen for a pie chart\n    System.err.println(""ChartFactory.createPieChart(...) : plot not compatible."");\n  }\n\n    return chart;\n"
