method_id,method_name,class_name,software_system,filepath,start_line,end_line,Length_of_Head_Comment,Head_Comment,Length_of_the_Implementation,Method_Implementation
3232,HighLow,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,79,80,11,"/**\n\n   * Constructs a high-low item, with default values for the open/close and colors.\n\n   * @param x\n\n   * @param high\n\n   * @param low\n\n   */",4,"  public HighLow(double x, double high, double low) {\n\n  this(x, high, low, high, low, new BasicStroke(), Color.blue);\n\n"
3233,setValue,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,154,158,9,/**\n\n   * Sets either OPEN or Close value depending on the valueType.\n\n   * @param valueType\n\n   * @param newValue\n\n   */,10,"  public void setValue(int valueType, double newValue) {\n\n  if (valueType == OPEN)\n\n    open = newValue;\n\n  else\n\n    close = newValue;\n\n"
3234,getCloseTickLine,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,171,172,5,/**\n\n   * Returns the line. for close tick\n\n   */,4,"  public Line2D getCloseTickLine() {\n\n  return getTickLine(getLine().getX1(), getValue(CLOSE), getTickSize());\n\n"
3235,getOpenTickLine,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,164,165,5,/**\n\n   * Returns the line for open tick.\n\n   */,4,"  public Line2D getOpenTickLine() {\n\n  return getTickLine(getLine().getX1(), getValue(OPEN), (-1) * getTickSize());\n\n"
3236,getValue,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,142,146,7,/**\n\n   * Returns either OPEN or Close value depending on the valueType.\n\n   * @param valueType\n\n   */,10,  public double getValue(int valueType) {\n\n  if (valueType == OPEN)\n\n    return open;\n\n  else\n\n    return close;\n\n
3237,setTickSize,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,120,121,7,/**\n\n   * Sets the width of the open/close tick.\n\n   * @param newSize\n\n   */,4,  public void setTickSize(double newSize) {\n\n  tickSize = newSize;\n\n
3238,HighLow,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,91,92,15,"/**\n\n   * Constructs a high-low item, with default values for the colors.\n\n   * @param x\n\n   * @param high\n\n   * @param low\n\n   * @param open\n\n   * @param close\n\n   */",4,"  public HighLow(double x, double high, double low, double open, double close) {\n\n  this(x, high, low, open, close, new BasicStroke(), Color.blue);\n\n"
3239,getLine,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,134,135,5,/**\n\n   * Returns the line.\n\n   */,4,  public Line2D getLine() {\n\n  return line;\n\n
3240,getStroke,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,185,186,5,/**\n\n   * Returns the Stroke object used to draw the line.\n\n   */,4,  public Stroke getStroke() {\n\n  return stroke;\n\n
3242,getTickSize,HighLow,JFreeChart071,jfreechart-0.7.1/source/com/jrefinery/chart/HighLow.java,127,128,5,/**\n\n   * Returns the width of the open/close tick.\n\n   */,4,  public double getTickSize() {\n\n  return tickSize;\n\n
