method_id,method_name,class_name,software_system,filepath,start_line,end_line,Length_of_Head_Comment,Head_Comment,Length_of_the_Implementation,Method_Implementation
58,close,ContentReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/ContentReader.java,177,208,6,/**\n  * Skips remaining data and closes the stream.\n  *\n  * @throws java.io.IOException\n  *    if an error occurred reading the data\n  */,28,"   public void close()\n    throws IOException\n   {\n    try {\n     int bufferLength = this.buffer.length();\n     for (;;) {\n      String str = """";\n      char ch;\n      if (this.bufferIndex >= bufferLength) {\n         str = XMLUtil.read(this.reader, \'&\');\n         ch = str.charAt(0);\n      } else {\n         ch = this.buffer.charAt(this.bufferIndex);\n         this.bufferIndex++;\n         continue; // don\'t interprete chars in the buffer\n      }\n      if (ch == \'<\') {\n         this.reader.unread(ch);\n         break;\n      }\n      if ((ch == \'&\') && (str.length() > 1)) {\n         if (str.charAt(1) != \'#\') {\n          XMLUtil.processEntity(str, this.reader, this.resolver);\n         }\n      }\n     }\n    } catch (XMLParseException e) {\n     throw new IOException(e.getMessage());\n"
59,ContentReader,ContentReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/ContentReader.java,78,85,7,/**\n  * Creates the reader.\n  *\n  * @param reader the encapsulated reader\n  * @param resolver the entity resolver\n  * @param buffer data that has already been read from <code>reader</code>\n  */,8,"   ContentReader(IXMLReader     reader,\n         IXMLEntityResolver resolver,\n         String       buffer)\n   {\n    this.reader = reader;\n    this.resolver = resolver;\n    this.buffer = buffer;\n    this.bufferIndex = 0;\n"
60,read,ContentReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/ContentReader.java,114,166,12,"/**\n  * Reads a block of data.\n  *\n  * @param outputBuffer where to put the read data\n  * @param offset first position in buffer to put the data\n  * @param size maximum number of chars to read\n  *\n  * @return the number of chars read, or -1 if at EOF\n  *\n  * @throws java.io.IOException\n  *    if an error occurred reading the data\n  */",45,"   public int read(char[] outputBuffer,\n           int  offset,\n           int  size)\n    throws IOException\n   {\n    try {\n     int charsRead = 0;\n     int bufferLength = this.buffer.length();\n     if ((offset + size) > outputBuffer.length) {\n      size = outputBuffer.length - offset;\n     }\n     while (charsRead < size) {\n      String str = """";\n      char ch;\n      if (this.bufferIndex >= bufferLength) {\n         str = XMLUtil.read(this.reader, \'&\');\n         ch = str.charAt(0);\n      } else {\n         ch = this.buffer.charAt(this.bufferIndex);\n         this.bufferIndex++;\n         outputBuffer[charsRead] = ch;\n         charsRead++;\n         continue; // don\'t interprete chars in the buffer\n      }\n      if (ch == \'<\') {\n         this.reader.unread(ch);\n         break;\n      }\n      if ((ch == \'&\') && (str.length() > 1)) {\n         if (str.charAt(1) == \'#\') {\n          ch = XMLUtil.processCharLiteral(str);\n         } else {\n          XMLUtil.processEntity(str, this.reader, this.resolver);\n          continue;\n         }\n      }\n      outputBuffer[charsRead] = ch;\n      charsRead++;\n     }\n     if (charsRead == 0) {\n      charsRead = -1;\n     }\n     return charsRead;\n    } catch (XMLParseException e) {\n     throw new IOException(e.getMessage());\n"
61,finalize,ContentReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/ContentReader.java,92,98,3,/**\n  * Cleans up the object when it's destroyed.\n  */,7,   protected void finalize()\n    throws Throwable\n   {\n    this.reader = null;\n    this.resolver = null;\n    this.buffer = null;\n    super.finalize();\n
62,finalize,PIReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/PIReader.java,74,78,3,/**\n  * Cleans up the object when it's destroyed.\n  */,5,   protected void finalize()\n    throws Throwable\n   {\n    this.reader = null;\n    super.finalize();\n
63,read,PIReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/PIReader.java,94,131,12,"/**\n  * Reads a block of data.\n  *\n  * @param buffer where to put the read data\n  * @param offset first position in buffer to put the data\n  * @param size maximum number of chars to read\n  *\n  * @return the number of chars read, or -1 if at EOF\n  *\n  * @throws java.io.IOException\n  *    if an error occurred reading the data\n  */",29,"   public int read(char[] buffer,\n           int  offset,\n           int  size)\n    throws IOException\n   {\n    if (this.atEndOfData) {\n     return -1;\n    }\n    int charsRead = 0;\n    if ((offset + size) > buffer.length) {\n     size = buffer.length - offset;\n    }\n    while (charsRead < size) {\n     char ch = this.reader.read();\n     if (ch == '?') {\n      char ch2 = this.reader.read();\n      if (ch2 == '>') {\n         this.atEndOfData = true;\n         break;\n      }\n      this.reader.unread(ch2);\n     }\n     buffer[charsRead] = ch;\n     charsRead++;\n    }\n    if (charsRead == 0) {\n     charsRead = -1;\n    }\n    return charsRead;\n"
64,PIReader,PIReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/PIReader.java,64,67,5,/**\n  * Creates the reader.\n  *\n  * @param reader the encapsulated reader\n  */,4,   PIReader(IXMLReader reader)\n   {\n    this.reader = reader;\n    this.atEndOfData = false;\n
77,getParameterEntityResolver,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,115,117,5,/**\n  * Returns the parameter entity resolver.\n  *\n  * @return the entity resolver.\n  */,3,   public IXMLEntityResolver getParameterEntityResolver()\n   {\n    return this.parameterEntityResolver;\n
78,attributeAdded,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,608,616,8,/**\n  * Indicates that an attribute has been added to the current element.\n  *\n  * @param key    the name of the attribute.\n  * @param value    the value of the attribute.\n  * @param systemId   the system ID of the XML data of the element.\n  * @param lineNr   the line number in the XML data of the element.\n  */,8,"   public void attributeAdded(String key,\n                String value,\n                String systemId,\n                int  lineNr)\n   {\n    Properties props = (Properties) this.currentElements.peek();\n    if (props.containsKey(key)) {\n     props.remove(key);\n"
79,processElement,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,184,217,9,/**\n  * Processes an element in the DTD.\n  *\n  * @param reader     the reader to read data from.\n  * @param entityResolver the entity resolver.\n  *\n  * @throws java.lang.Exception\n  *   If something went wrong.\n  */,27,"   protected void processElement(IXMLReader     reader,\n                 IXMLEntityResolver entityResolver)\n    throws Exception\n   {\n    String str = XMLUtil.read(reader, '%');\n    char ch = str.charAt(0);\n    if (ch != '!') {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    str = XMLUtil.read(reader, '%');\n    ch = str.charAt(0);\n    switch (ch) {\n     case '-':\n      XMLUtil.skipComment(reader);\n      break;\n     case '[':\n      this.processConditionalSection(reader, entityResolver);\n      break;\n     case 'E':\n      this.processEntity(reader, entityResolver);\n      break;\n     case 'A':\n      this.processAttList(reader, entityResolver);\n      break;\n     default:\n      XMLUtil.skipTag(reader);\n"
80,NonValidator,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,76,80,3,/**\n  * Creates the &quot;validator&quot;.\n  */,5,   public NonValidator()\n   {\n    this.attributeDefaultValues = new Hashtable();\n    this.currentElements = new Stack();\n    this.parameterEntityResolver = new XMLEntityResolver();\n
81,processEntity,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,460,530,9,/**\n  * Processes an ENTITY element.\n  *\n  * @param reader     the reader to read data from.\n  * @param entityResolver the entity resolver.\n  *\n  * @throws java.lang.Exception\n  *   If something went wrong.\n  */,61,"   protected void processEntity(IXMLReader     reader,\n                IXMLEntityResolver entityResolver)\n    throws Exception\n   {\n    if (! XMLUtil.checkLiteral(reader, ""NTITY"")) {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    XMLUtil.skipWhitespace(reader, null);\n    char ch = XMLUtil.readChar(reader, \'\\0\');\n    if (ch == \'%\') {\n     XMLUtil.skipWhitespace(reader, null);\n     entityResolver = this.parameterEntityResolver;\n    } else {\n     reader.unread(ch);\n    }\n    String key = XMLUtil.scanIdentifier(reader);\n    XMLUtil.skipWhitespace(reader, null);\n    ch = XMLUtil.readChar(reader, \'%\');\n    String systemID = null;\n    String publicID = null;\n    switch (ch) {\n     case \'P\':\n      if (! XMLUtil.checkLiteral(reader, ""UBLIC"")) {\n         XMLUtil.skipTag(reader);\n         return;\n      }\n      XMLUtil.skipWhitespace(reader, null);\n      publicID = XMLUtil.scanString(reader, \'%\',\n                      this.parameterEntityResolver);\n      XMLUtil.skipWhitespace(reader, null);\n      systemID = XMLUtil.scanString(reader, \'%\',\n                      this.parameterEntityResolver);\n      XMLUtil.skipWhitespace(reader, null);\n      XMLUtil.readChar(reader, \'%\');\n      break;\n     case \'S\':\n      if (! XMLUtil.checkLiteral(reader, ""YSTEM"")) {\n         XMLUtil.skipTag(reader);\n         return;\n      }\n      XMLUtil.skipWhitespace(reader, null);\n      systemID = XMLUtil.scanString(reader, \'%\',\n                      this.parameterEntityResolver);\n      XMLUtil.skipWhitespace(reader, null);\n      XMLUtil.readChar(reader, \'%\');\n      break;\n     case \'""\':\n     case \'\\\'\':\n      reader.unread(ch);\n      String value = XMLUtil.scanString(reader, \'%\',\n                        this.parameterEntityResolver);\n      entityResolver.addInternalEntity(key, value);\n      XMLUtil.skipWhitespace(reader, null);\n      XMLUtil.readChar(reader, \'%\');\n      break;\n     default:\n      XMLUtil.skipTag(reader);\n    }\n    if (systemID != null) {\n     entityResolver.addExternalEntity(key, publicID, systemID);\n"
83,parseDTD,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,133,170,12,"/**\n  * Parses the DTD. The validator object is responsible for reading the\n  * full DTD.\n  *\n  * @param publicID     the public ID, which may be null.\n  * @param reader     the reader to read the DTD from.\n  * @param entityResolver the entity resolver.\n  * @param external     true if the DTD is external.\n  *\n  * @throws java.lang.Exception\n  *   If something went wrong.\n  */",33,"   public void parseDTD(String       publicID,\n            IXMLReader     reader,\n            IXMLEntityResolver entityResolver,\n            boolean      external)\n    throws Exception\n   {\n    XMLUtil.skipWhitespace(reader, null);\n    int origLevel = reader.getStreamLevel();\n    for (;;) {\n     String str = XMLUtil.read(reader, '%');\n     char ch = str.charAt(0);\n     if (ch == '%') {\n      XMLUtil.processEntity(str, reader,\n                  this.parameterEntityResolver);\n      continue;\n     } else if (ch == '<') {\n      this.processElement(reader, entityResolver);\n     } else if (ch == ']') {\n      return; // end internal DTD\n     } else {\n      XMLUtil.errorInvalidInput(reader.getSystemID(),\n                    reader.getLineNr(),\n                    str);\n     }\n     do {\n      ch = reader.read();\n      if (external && (reader.getStreamLevel() < origLevel)) {\n         reader.unread(ch);\n         return; // end external DTD\n      }\n     } while ((ch == ' ') || (ch == '\\t') || (ch == '\\n')\n          || (ch == '\\r'));\n     reader.unread(ch);\n"
84,elementStarted,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,542,555,7,/**\n  * Indicates that an element has been started.\n  *\n  * @param name     the name of the element.\n  * @param systemId   the system ID of the XML data of the element.\n  * @param lineNr   the line number in the XML data of the element.\n  */,12,"   public void elementStarted(String name,\n                String systemId,\n                int  lineNr)\n   {\n    Properties attribs\n     = (Properties) this.attributeDefaultValues.get(name);\n    if (attribs == null) {\n     attribs = new Properties();\n    } else {\n     attribs = (Properties) attribs.clone();\n    }\n    this.currentElements.push(attribs);\n"
85,elementAttributesProcessed,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,585,595,14,"/**\n  * This method is called when the attributes of an XML element have been\n  * processed.\n  * If there are attributes with a default value which have not been\n  * specified yet, they have to be put into <I>extraAttributes</I>.\n  *\n  * @param name      the name of the element.\n  * @param extraAttributes where to put extra attributes.\n  * @param systemId    the system ID of the XML data of the element.\n  * @param lineNr      the line number in the XML data of the element.\n  */\n --------------\n// nothing to do\n --------------",10,"   public void elementAttributesProcessed(String   name,\n                      Properties extraAttributes,\n                      String   systemId,\n                      int    lineNr)\n   {\n    Properties props = (Properties) this.currentElements.pop();\n    Enumeration enm = props.keys();\n    while (enm.hasMoreElements()) {\n     String key = (String) enm.nextElement();\n     extraAttributes.put(key, props.get(key));\n"
86,processIgnoreSection,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,303,323,9,/**\n  * Processes an ignore section.\n  *\n  * @param reader     the reader to read data from.\n  * @param entityResolver the entity resolver.\n  *\n  * @throws java.lang.Exception\n  *   If something went wrong.\n  */,17,"   protected void processIgnoreSection(IXMLReader     reader,\n                     IXMLEntityResolver entityResolver)\n    throws Exception\n   {\n    if (! XMLUtil.checkLiteral(reader, ""NORE"")) {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    XMLUtil.skipWhitespace(reader, null);\n    String str = XMLUtil.read(reader, \'%\');\n    char ch = str.charAt(0);\n    if (ch != \'[\') {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    Reader subreader = new CDATAReader(reader);\n    subreader.close();\n"
87,processConditionalSection,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,231,290,9,/**\n  * Processes a conditional section.\n  *\n  * @param reader     the reader to read data from.\n  * @param entityResolver the entity resolver.\n  *\n  * @throws java.lang.Exception\n  *   If something went wrong.\n  */,45,"   protected void processConditionalSection(IXMLReader     reader,\n                      IXMLEntityResolver entityResolver)\n    throws Exception\n   {\n    XMLUtil.skipWhitespace(reader, null);\n    String str = XMLUtil.read(reader, \'%\');\n    char ch = str.charAt(0);\n    if (ch != \'I\') {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    str = XMLUtil.read(reader, \'%\');\n    ch = str.charAt(0);\n    switch (ch) {\n     case \'G\':\n      this.processIgnoreSection(reader, entityResolver);\n      return;\n     case \'N\':\n      break;\n     default:\n      XMLUtil.skipTag(reader);\n      return;\n    }\n    if (! XMLUtil.checkLiteral(reader, ""CLUDE"")) {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    XMLUtil.skipWhitespace(reader, null);\n    str = XMLUtil.read(reader, \'%\');\n    ch = str.charAt(0);\n    if (ch != \'[\') {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    Reader subreader = new CDATAReader(reader);\n    StringBuffer buf = new StringBuffer(1024);\n    for (;;) {\n     int ch2 = subreader.read();\n     if (ch2 < 0) {\n      break;\n     }\n     buf.append((char) ch2);\n    }\n    subreader.close();\n    reader.startNewStream(new StringReader(buf.toString()));\n"
88,setParameterEntityResolver,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,104,106,5,/**\n  * Sets the parameter entity resolver.\n  *\n  * @param resolver the entity resolver.\n  */,3,   public void setParameterEntityResolver(IXMLEntityResolver resolver)\n   {\n    this.parameterEntityResolver = resolver;\n
89,processAttList,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,336,446,9,/**\n  * Processes an ATTLIST element.\n  *\n  * @param reader     the reader to read data from.\n  * @param entityResolver the entity resolver.\n  *\n  * @throws java.lang.Exception\n  *   If something went wrong.\n  */,100,"   protected void processAttList(IXMLReader     reader,\n                 IXMLEntityResolver entityResolver)\n    throws Exception\n   {\n    if (! XMLUtil.checkLiteral(reader,  ""TTLIST"")) {\n     XMLUtil.skipTag(reader);\n     return;\n    }\n    XMLUtil.skipWhitespace(reader, null);\n    String str = XMLUtil.read(reader, \'%\');\n    char ch = str.charAt(0);\n    while (ch == \'%\') {\n     XMLUtil.processEntity(str, reader,\n                 this.parameterEntityResolver);\n     str = XMLUtil.read(reader, \'%\');\n     ch = str.charAt(0);\n    }\n    reader.unread(ch);\n    String elementName = XMLUtil.scanIdentifier(reader);\n    XMLUtil.skipWhitespace(reader, null);\n    \n    str = XMLUtil.read(reader, \'%\');\n    ch = str.charAt(0);\n    while (ch == \'%\') {\n     XMLUtil.processEntity(str, reader,\n                 this.parameterEntityResolver);\n     str = XMLUtil.read(reader, \'%\');\n     ch = str.charAt(0);\n    }\n    Properties props = new Properties();\n    while (ch != \'>\') {\n     reader.unread(ch);\n     String attName = XMLUtil.scanIdentifier(reader);\n     XMLUtil.skipWhitespace(reader, null);\n     str = XMLUtil.read(reader, \'%\');\n     ch = str.charAt(0);\n     while (ch == \'%\') {\n       XMLUtil.processEntity(str, reader,\n                   this.parameterEntityResolver);\n       str = XMLUtil.read(reader, \'%\');\n       ch = str.charAt(0);\n     }\n     if (ch == \'(\') {\n       while (ch != \')\') {\n         str = XMLUtil.read(reader, \'%\');\n         ch = str.charAt(0);\n         while (ch == \'%\') {\n           XMLUtil.processEntity(str, reader,\n                       this.parameterEntityResolver);\n           str = XMLUtil.read(reader, \'%\');\n           ch = str.charAt(0);\n         }\n       }\n     } else {\n      reader.unread(ch);\n      XMLUtil.scanIdentifier(reader);\n     }\n     XMLUtil.skipWhitespace(reader, null);\n     str = XMLUtil.read(reader, \'%\');\n     ch = str.charAt(0);\n     while (ch == \'%\') {\n       XMLUtil.processEntity(str, reader,\n                   this.parameterEntityResolver);\n       str = XMLUtil.read(reader, \'%\');\n       ch = str.charAt(0);\n     }\n     \n     if (ch == \'#\') {\n      str = XMLUtil.scanIdentifier(reader);\n      XMLUtil.skipWhitespace(reader, null);\n      if (! str.equals(""FIXED"")) {\n         XMLUtil.skipWhitespace(reader, null);\n         str = XMLUtil.read(reader, \'%\');\n         ch = str.charAt(0);\n         while (ch == \'%\') {\n          XMLUtil.processEntity(str, reader,\n                    this.parameterEntityResolver);\n          str = XMLUtil.read(reader, \'%\');\n          ch = str.charAt(0);\n         }\n         continue;\n      }\n     } else {\n      reader.unread(ch);\n     }\n     String value = XMLUtil.scanString(reader, \'%\',\n                       this.parameterEntityResolver);\n     props.put(attName, value);\n     XMLUtil.skipWhitespace(reader, null);\n     str = XMLUtil.read(reader, \'%\');\n     ch = str.charAt(0);\n     while (ch == \'%\') {\n      XMLUtil.processEntity(str, reader,\n                  this.parameterEntityResolver);\n      str = XMLUtil.read(reader, \'%\');\n      ch = str.charAt(0);\n     }\n    }\n    if (! props.isEmpty()) {\n     this.attributeDefaultValues.put(elementName, props);\n"
90,finalize,NonValidator,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/NonValidator.java,87,95,3,/**\n  * Cleans up the object when it's destroyed.\n  */,9,   protected void finalize()\n    throws Throwable\n   {\n    this.parameterEntityResolver = null;\n    this.attributeDefaultValues.clear();\n    this.attributeDefaultValues = null;\n    this.currentElements.clear();\n    this.currentElements = null;\n    super.finalize();\n
149,CDATAReader,CDATAReader,JHotDraw741,jhotdraw7/src/main/java/net/n3/nanoxml/CDATAReader.java,70,74,5,/**\n  * Creates the reader.\n  *\n  * @param reader the encapsulated reader\n  */,5,   CDATAReader(IXMLReader reader)\n   {\n    this.reader = reader;\n    this.savedChar = 0;\n    this.atEndOfData = false;\n
